# step, energy, mass, x-momentum, y-momentum, z-momentum 
98 1.2770340e+09 4.4946488e+03 1.3182358e+06 2.0246787e+05 0.0000000e+00
99 1.2607918e+09 4.4382161e+03 1.2940499e+06 2.0070279e+05 0.0000000e+00
100 1.2490848e+09 4.3977913e+03 1.2719891e+06 1.9650411e+05 0.0000000e+00
101 1.2413247e+09 4.3713401e+03 1.2526614e+06 1.8984489e+05 0.0000000e+00
102 1.2665854e+09 4.4598667e+03 1.2375597e+06 1.8001665e+05 0.0000000e+00
103 1.3131214e+09 4.6225398e+03 1.2255018e+06 1.6915915e+05 0.0000000e+00
104 1.3639594e+09 4.8006653e+03 1.2150696e+06 1.5792957e+05 0.0000000e+00
105 1.4119566e+09 4.9702585e+03 1.2054876e+06 1.4760740e+05 0.0000000e+00
106 1.4525736e+09 5.1152445e+03 1.1962732e+06 1.3788472e+05 0.0000000e+00
107 1.4833520e+09 5.2267024e+03 1.1870320e+06 1.3210427e+05 0.0000000e+00
108 1.5028058e+09 5.2991366e+03 1.1775548e+06 1.3573467e+05 0.0000000e+00
109 1.5120041e+09 5.3361806e+03 1.1676526e+06 1.4145392e+05 0.0000000e+00
110 1.5131864e+09 5.3455161e+03 1.1573876e+06 1.4754830e+05 0.0000000e+00
111 1.5091022e+09 5.3365764e+03 1.1466879e+06 1.5157531e+05 0.0000000e+00
112 1.5071865e+09 5.3352487e+03 1.1360844e+06 1.5459721e+05 0.0000000e+00
113 1.5175954e+09 5.3762788e+03 1.1263108e+06 1.5575649e+05 0.0000000e+00
114 1.5354079e+09 5.4433586e+03 1.1169358e+06 1.5405727e+05 0.0000000e+00
115 1.5545126e+09 5.5136882e+03 1.1077308e+06 1.5197968e+05 0.0000000e+00
116 1.5721482e+09 5.5800547e+03 1.0980704e+06 1.4812725e+05 0.0000000e+00
117 1.5873962e+09 5.6383864e+03 1.0880219e+06 1.4316886e+05 0.0000000e+00
118 1.6000825e+09 5.6879466e+03 1.0777362e+06 1.3705340e+05 0.0000000e+00
119 1.6107739e+09 5.7310405e+03 1.0668435e+06 1.2988035e+05 0.0000000e+00
120 1.6198402e+09 5.7683589e+03 1.0554059e+06 1.2265314e+05 0.0000000e+00
121 1.6268149e+09 5.7978270e+03 1.0432121e+06 1.1564797e+05 0.0000000e+00
122 1.6331963e+09 5.8246274e+03 1.0307329e+06 1.1339341e+05 0.0000000e+00
123 1.6388260e+09 5.8489911e+03 1.0180455e+06 1.1315031e+05 0.0000000e+00
124 1.6435194e+09 5.8703633e+03 1.0053744e+06 1.1542878e+05 0.0000000e+00
125 1.6475843e+09 5.8901100e+03 9.9290734e+05 1.1783341e+05 0.0000000e+00
126 1.6523176e+09 5.9128584e+03 9.8098419e+05 1.1974585e+05 0.0000000e+00
127 1.6576327e+09 5.9375207e+03 9.6985387e+05 1.2113100e+05 0.0000000e+00
128 1.6635123e+09 5.9642416e+03 9.5934820e+05 1.2109515e+05 0.0000000e+00
129 1.6696831e+09 5.9921861e+03 9.4957777e+05 1.2091907e+05 0.0000000e+00
130 1.6760188e+09 6.0209867e+03 9.4027178e+05 1.2009326e+05 0.0000000e+00
131 1.6822191e+09 6.0495138e+03 9.3133304e+05 1.1853847e+05 0.0000000e+00
132 1.6881725e+09 6.0775156e+03 9.2257323e+05 1.1642699e+05 0.0000000e+00
133 1.6933941e+09 6.1035818e+03 9.1397902e+05 1.1413547e+05 0.0000000e+00
134 1.6978294e+09 6.1279649e+03 9.0517321e+05 1.1035590e+05 0.0000000e+00
135 1.7014298e+09 6.1493150e+03 8.9654518e+05 1.0760195e+05 0.0000000e+00
136 1.7040508e+09 6.1675229e+03 8.8768792e+05 1.0575766e+05 0.0000000e+00
137 1.7054730e+09 6.1816674e+03 8.7877842e+05 1.0611476e+05 0.0000000e+00
138 1.7057616e+09 6.1916176e+03 8.6966538e+05 1.0779845e+05 0.0000000e+00
139 1.7048971e+09 6.1972211e+03 8.6049280e+05 1.1034569e+05 0.0000000e+00
140 1.7029418e+09 6.1986759e+03 8.5130117e+05 1.1294037e+05 0.0000000e+00
141 1.6997986e+09 6.1956640e+03 8.4198976e+05 1.1509453e+05 0.0000000e+00
142 1.6955958e+09 6.1885519e+03 8.3263785e+05 1.1684584e+05 0.0000000e+00
143 1.6901851e+09 6.1768661e+03 8.2318455e+05 1.1743023e+05 0.0000000e+00
144 1.6829718e+09 6.1583356e+03 8.1357484e+05 1.1713554e+05 0.0000000e+00
145 1.6745966e+09 6.1352109e+03 8.0386313e+05 1.1613745e+05 0.0000000e+00
146 1.6642265e+09 6.1044357e+03 7.9381532e+05 1.1411276e+05 0.0000000e+00
147 1.6529205e+09 6.0695268e+03 7.8370627e+05 1.1201534e+05 0.0000000e+00
148 1.6394642e+09 6.0273392e+03 7.7312302e+05 1.0871275e+05 0.0000000e+00
149 1.6243191e+09 5.9784705e+03 7.6226130e+05 1.0504959e+05 0.0000000e+00
150 1.6073818e+09 5.9233109e+03 7.5083577e+05 1.0038497e+05 0.0000000e+00
151 1.5886213e+09 5.8614923e+03 7.3909847e+05 9.5925360e+04 0.0000000e+00
152 1.5695687e+09 5.7977830e+03 7.2742959e+05 9.3009345e+04 0.0000000e+00
153 1.5480571e+09 5.7256108e+03 7.1518286e+05 8.9598159e+04 0.0000000e+00
154 1.5256608e+09 5.6496741e+03 7.0287260e+05 8.7138284e+04 0.0000000e+00
155 1.5018987e+09 5.5687246e+03 6.9012186e+05 8.4568665e+04 0.0000000e+00
156 1.4770878e+09 5.4834549e+03 6.7714074e+05 8.2737693e+04 0.0000000e+00
157 1.4531532e+09 5.4005504e+03 6.6452135e+05 8.2588573e+04 0.0000000e+00
158 1.4271833e+09 5.3105397e+03 6.5133873e+05 8.0824466e+04 0.0000000e+00
159 1.4018080e+09 5.2217958e+03 6.3848991e+05 8.0170591e+04 0.0000000e+00
160 1.3758225e+09 5.1308506e+03 6.2539057e+05 7.8598904e+04 0.0000000e+00
161 1.3495497e+09 5.0384427e+03 6.1236625e+05 7.7153274e+04 0.0000000e+00
162 1.3249011e+09 4.9512487e+03 5.9987088e+05 7.6659384e+04 0.0000000e+00
163 1.2988894e+09 4.8594535e+03 5.8713706e+05 7.4512840e+04 0.0000000e+00
164 1.2741387e+09 4.7714777e+03 5.7495382e+05 7.3252624e+04 0.0000000e+00
165 1.2495996e+09 4.6844190e+03 5.6283648e+05 7.1501895e+04 0.0000000e+00
166 1.2253577e+09 4.5982601e+03 5.5099245e+05 6.9834796e+04 0.0000000e+00
167 1.2033173e+09 4.5196466e+03 5.3984818e+05 6.9376182e+04 0.0000000e+00
168 1.1807159e+09 4.4394702e+03 5.2864898e+05 6.7726641e+04 0.0000000e+00
169 1.1597566e+09 4.3647810e+03 5.1805723e+05 6.7108360e+04 0.0000000e+00
170 1.1401205e+09 4.2950201e+03 5.0781489e+05 6.6840182e+04 0.0000000e+00
171 1.1209672e+09 4.2271667e+03 4.9780600e+05 6.6339272e+04 0.0000000e+00
172 1.1040753e+09 4.1670666e+03 4.8855657e+05 6.7005154e+04 0.0000000e+00
173 1.0873785e+09 4.1081912e+03 4.7936879e+05 6.6219653e+04 0.0000000e+00
174 1.0720805e+09 4.0542032e+03 4.7076707e+05 6.6009373e+04 0.0000000e+00
175 1.0585379e+09 4.0066659e+03 4.6263618e+05 6.5922187e+04 0.0000000e+00
176 1.0457243e+09 3.9619972e+03 4.5480063e+05 6.5265883e+04 0.0000000e+00
177 1.0343172e+09 3.9224197e+03 4.4746264e+05 6.4857786e+04 0.0000000e+00
178 1.0239695e+09 3.8869171e+03 4.4039745e+05 6.3885631e+04 0.0000000e+00
179 1.0146887e+09 3.8553603e+03 4.3377421e+05 6.2896545e+04 0.0000000e+00
180 1.0064881e+09 3.8278050e+03 4.2745206e+05 6.1845630e+04 0.0000000e+00
181 9.9889926e+08 3.8026187e+03 4.2137939e+05 6.0564593e+04 0.0000000e+00
182 9.9199964e+08 3.7799438e+03 4.1559337e+05 5.9323425e+04 0.0000000e+00
183 9.8559317e+08 3.7590717e+03 4.1004624e+05 5.8032592e+04 0.0000000e+00
184 9.7989953e+08 3.7409137e+03 4.0472921e+05 5.6736495e+04 0.0000000e+00
185 9.7543962e+08 3.7272123e+03 3.9973260e+05 5.5867632e+04 0.0000000e+00
